,year,month,week,hour,report_date,shift,offense,method,district
238,2011,8,34,6,8/20/2011,MIDNIGHT,SEX ABUSE,KNIFE,1
239,2011,10,44,5,10/25/2011,MIDNIGHT,SEX ABUSE,OTHERS,7
240,2011,6,27,0,6/28/2011,MIDNIGHT,SEX ABUSE,GUN,7
241,2013,8,36,6,09/02/2013,MIDNIGHT,HOMICIDE,KNIFE,4
242,2016,3,13,1,3/22/2016,MIDNIGHT,HOMICIDE,KNIFE,6
243,2012,9,40,0,9/30/2012,MIDNIGHT,HOMICIDE,GUN,4
244,2014,1,1,20,01/04/2014,EVENING,SEX ABUSE,OTHERS,2
245,2013,12,49,15,12/06/2013,EVENING,SEX ABUSE,OTHERS,6
246,2012,2,7,0,2/18/2012,MIDNIGHT,SEX ABUSE,GUN,5
247,2015,7,27,20,07/03/2015,EVENING,SEX ABUSE,OTHERS,6
248,2013,8,35,18,8/30/2013,EVENING,SEX ABUSE,OTHERS,7
249,2014,1,4,23,1/22/2014,MIDNIGHT,SEX ABUSE,OTHERS,6
250,2015,3,14,1,3/30/2015,MIDNIGHT,HOMICIDE,GUN,4
251,2014,12,49,3,12/04/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
252,2014,2,9,5,2/27/2014,MIDNIGHT,SEX ABUSE,GUN,6
253,2011,6,23,15,06/04/2011,EVENING,SEX ABUSE,KNIFE,1
254,2011,4,21,0,5/21/2011,MIDNIGHT,HOMICIDE,GUN,2
255,2013,2,5,1,02/01/2013,MIDNIGHT,HOMICIDE,OTHERS,5
256,2015,8,32,0,08/05/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
257,2014,5,25,0,6/15/2014,MIDNIGHT,HOMICIDE,GUN,7
258,2011,11,47,18,11/15/2011,EVENING,SEX ABUSE,OTHERS,3
259,2013,9,38,0,9/16/2013,MIDNIGHT,HOMICIDE,GUN,1
260,2015,12,53,23,12/27/2015,MIDNIGHT,SEX ABUSE,OTHERS,1
261,2011,10,43,5,10/18/2011,MIDNIGHT,HOMICIDE,GUN,5
262,2011,6,31,16,7/26/2011,EVENING,SEX ABUSE,OTHERS,3
