,year,month,week,hour,report_date,shift,offense,method,district
0,2014,6,26,0,6/25/2014,MIDNIGHT,HOMICIDE,OTHERS,7
1,2012,7,28,17,07/12/2012,EVENING,SEX ABUSE,OTHERS,7
2,2014,10,43,17,10/20/2014,EVENING,SEX ABUSE,KNIFE,3
3,2012,4,17,19,4/24/2012,EVENING,SEX ABUSE,OTHERS,1
4,2014,7,29,2,7/13/2014,MIDNIGHT,HOMICIDE,GUN,5
5,2012,6,45,9,07/11/2012,DAY,SEX ABUSE,OTHERS,5
6,2015,4,18,21,4/26/2015,EVENING,SEX ABUSE,OTHERS,4
7,2012,2,7,2,02/12/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
8,2015,4,20,0,5/13/2015,MIDNIGHT,HOMICIDE,KNIFE,7
9,2015,1,1,0,01/02/2015,MIDNIGHT,SEX ABUSE,OTHERS,6
10,2011,4,15,2,04/08/2011,MIDNIGHT,HOMICIDE,GUN,7
11,2015,10,44,19,10/27/2015,EVENING,SEX ABUSE,OTHERS,7
12,2012,6,24,3,6/14/2012,MIDNIGHT,HOMICIDE,GUN,1
13,2013,5,22,7,5/29/2013,DAY,SEX ABUSE,OTHERS,1
14,2015,1,4,19,1/21/2015,EVENING,SEX ABUSE,OTHERS,2
15,2014,10,41,11,10/09/2014,DAY,SEX ABUSE,OTHERS,4
16,2012,10,41,17,10/08/2012,EVENING,SEX ABUSE,OTHERS,6
17,2015,4,15,2,06/04/2015,MIDNIGHT,HOMICIDE,GUN,6
18,2013,10,45,20,11/07/2013,EVENING,SEX ABUSE,OTHERS,5
19,2012,8,31,21,08/04/2012,EVENING,SEX ABUSE,OTHERS,2
20,2011,11,45,8,11/01/2011,DAY,SEX ABUSE,OTHERS,4
21,2015,11,48,6,11/25/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
22,2011,1,6,19,1/31/2011,EVENING,SEX ABUSE,OTHERS,1
23,2014,2,9,5,2/27/2014,MIDNIGHT,HOMICIDE,KNIFE,7
24,2013,7,30,10,7/22/2013,DAY,SEX ABUSE,OTHERS,3
25,2015,5,21,14,5/22/2015,DAY,SEX ABUSE,OTHERS,4
26,2016,2,8,0,2/19/2016,MIDNIGHT,HOMICIDE,GUN,5
27,2012,6,22,6,06/02/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
28,2013,10,42,3,10/19/2013,MIDNIGHT,SEX ABUSE,GUN,6
29,2012,5,21,16,5/24/2012,EVENING,SEX ABUSE,KNIFE,7
30,2014,4,18,18,4/28/2014,EVENING,SEX ABUSE,OTHERS,2
31,2013,7,28,23,07/08/2013,MIDNIGHT,SEX ABUSE,OTHERS,3
32,2013,11,47,1,11/22/2013,MIDNIGHT,HOMICIDE,GUN,6
33,2015,10,41,19,10/08/2015,EVENING,SEX ABUSE,OTHERS,3
34,2011,10,41,0,10/08/2011,MIDNIGHT,HOMICIDE,KNIFE,4
35,2014,12,52,11,12/26/2014,DAY,SEX ABUSE,OTHERS,7
36,2014,10,43,3,10/19/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
37,2012,7,29,16,7/18/2012,EVENING,SEX ABUSE,OTHERS,5
38,2011,6,26,19,6/22/2011,EVENING,SEX ABUSE,OTHERS,4
39,2011,7,30,0,7/19/2011,MIDNIGHT,HOMICIDE,GUN,4
40,2011,2,9,20,2/25/2011,EVENING,SEX ABUSE,OTHERS,4
41,2015,4,20,21,05/10/2015,EVENING,SEX ABUSE,OTHERS,7
42,2016,1,10,21,2/29/2016,EVENING,SEX ABUSE,OTHERS,3
43,2011,5,21,16,5/18/2011,EVENING,SEX ABUSE,OTHERS,7
44,2014,11,50,15,12/10/2014,EVENING,SEX ABUSE,KNIFE,5
45,2012,4,27,18,05/07/2012,EVENING,SEX ABUSE,OTHERS,7
46,2014,5,20,16,5/13/2014,EVENING,SEX ABUSE,OTHERS,5
47,2015,4,22,6,5/24/2015,MIDNIGHT,SEX ABUSE,KNIFE,3
48,2014,6,23,7,06/06/2014,DAY,SEX ABUSE,OTHERS,4
49,2011,1,9,8,2/26/2011,DAY,SEX ABUSE,OTHERS,3
50,2014,9,40,18,9/30/2014,EVENING,SEX ABUSE,OTHERS,7
51,2012,6,26,20,6/25/2012,EVENING,SEX ABUSE,OTHERS,3
52,2014,2,9,9,2/26/2014,DAY,SEX ABUSE,OTHERS,7
53,2015,8,35,7,8/24/2015,DAY,SEX ABUSE,OTHERS,4
54,2014,4,14,18,04/01/2014,EVENING,SEX ABUSE,OTHERS,5
55,2016,3,12,15,3/14/2016,EVENING,SEX ABUSE,OTHERS,3
56,2012,2,9,4,2/26/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
57,2014,12,53,1,12/28/2014,MIDNIGHT,HOMICIDE,GUN,7
58,2012,6,23,16,06/08/2012,EVENING,SEX ABUSE,OTHERS,4
59,2014,7,31,0,7/31/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
60,2015,2,9,7,2/25/2015,DAY,SEX ABUSE,OTHERS,4
61,2013,8,37,21,09/09/2013,EVENING,SEX ABUSE,OTHERS,7
62,2011,3,12,4,3/14/2011,MIDNIGHT,SEX ABUSE,OTHERS,7
63,2012,9,37,1,09/12/2012,MIDNIGHT,SEX ABUSE,OTHERS,6
64,2011,10,43,0,10/16/2011,MIDNIGHT,HOMICIDE,GUN,7
65,2015,11,46,8,11/09/2015,DAY,SEX ABUSE,KNIFE,5
66,2011,4,21,3,5/20/2011,MIDNIGHT,HOMICIDE,KNIFE,7
67,2011,12,51,1,12/16/2011,MIDNIGHT,SEX ABUSE,KNIFE,5
68,2011,12,49,9,12/01/2011,DAY,SEX ABUSE,OTHERS,6
69,2015,2,9,18,2/28/2015,EVENING,SEX ABUSE,OTHERS,3
70,2013,12,49,0,12/04/2013,MIDNIGHT,SEX ABUSE,OTHERS,1
71,2014,2,6,0,02/05/2014,MIDNIGHT,SEX ABUSE,GUN,6
72,2011,10,43,23,10/17/2011,MIDNIGHT,SEX ABUSE,OTHERS,2
73,2013,7,27,16,07/02/2013,EVENING,SEX ABUSE,OTHERS,5
74,2014,5,19,19,05/08/2014,EVENING,SEX ABUSE,OTHERS,2
75,2014,10,43,2,10/21/2014,MIDNIGHT,SEX ABUSE,OTHERS,7
76,2015,12,50,23,12/07/2015,MIDNIGHT,SEX ABUSE,OTHERS,6
77,2013,6,25,12,6/22/2013,DAY,SEX ABUSE,OTHERS,1
78,2015,4,14,20,04/04/2015,EVENING,SEX ABUSE,OTHERS,3
79,2014,2,6,23,02/06/2014,MIDNIGHT,SEX ABUSE,OTHERS,7
80,2012,4,14,17,04/01/2012,EVENING,SEX ABUSE,GUN,4
81,2011,8,34,2,8/14/2011,MIDNIGHT,SEX ABUSE,KNIFE,1
82,2015,6,27,0,6/28/2015,MIDNIGHT,HOMICIDE,GUN,7
83,2014,8,34,6,8/22/2014,MIDNIGHT,SEX ABUSE,OTHERS,4
84,2016,3,14,0,3/31/2016,MIDNIGHT,HOMICIDE,OTHERS,4
85,2011,8,32,0,08/06/2011,MIDNIGHT,HOMICIDE,GUN,5
86,2015,9,39,15,9/22/2015,EVENING,SEX ABUSE,OTHERS,7
87,2015,9,41,11,10/08/2015,DAY,SEX ABUSE,OTHERS,7
88,2015,5,21,18,5/18/2015,EVENING,SEX ABUSE,OTHERS,1
89,2012,3,11,17,03/12/2012,EVENING,SEX ABUSE,KNIFE,3
90,2014,5,18,5,05/03/2014,MIDNIGHT,SEX ABUSE,OTHERS,7
91,2014,3,11,23,3/14/2014,MIDNIGHT,SEX ABUSE,OTHERS,6
92,2015,2,8,13,2/17/2015,DAY,SEX ABUSE,OTHERS,2
93,2012,4,17,0,4/28/2012,MIDNIGHT,HOMICIDE,GUN,6
94,2014,1,3,23,1/14/2014,MIDNIGHT,SEX ABUSE,GUN,5
95,2012,3,17,0,4/24/2012,MIDNIGHT,HOMICIDE,OTHERS,4
96,2014,10,43,1,10/25/2014,MIDNIGHT,SEX ABUSE,OTHERS,4
97,2012,11,46,16,11/14/2012,EVENING,SEX ABUSE,OTHERS,7
98,2015,5,19,21,05/05/2015,EVENING,SEX ABUSE,OTHERS,6
99,2015,10,43,0,10/21/2015,MIDNIGHT,HOMICIDE,GUN,6
100,2013,10,44,8,10/28/2013,DAY,SEX ABUSE,OTHERS,6
101,2015,7,29,0,7/18/2015,MIDNIGHT,HOMICIDE,GUN,5
102,2013,10,44,1,10/28/2013,MIDNIGHT,HOMICIDE,OTHERS,5
103,2015,4,16,11,4/16/2015,DAY,SEX ABUSE,KNIFE,1
104,2014,6,24,4,06/11/2014,MIDNIGHT,SEX ABUSE,OTHERS,6
105,2014,2,9,0,2/28/2014,MIDNIGHT,HOMICIDE,GUN,6
106,2013,7,31,10,7/31/2013,DAY,SEX ABUSE,OTHERS,4
107,2013,10,43,5,10/22/2013,MIDNIGHT,SEX ABUSE,OTHERS,6
108,2015,2,6,23,02/04/2015,MIDNIGHT,HOMICIDE,GUN,6
109,2012,2,7,1,2/15/2012,MIDNIGHT,HOMICIDE,GUN,5
110,2012,3,13,18,3/28/2012,EVENING,SEX ABUSE,OTHERS,5
111,2013,11,46,22,11/14/2013,EVENING,SEX ABUSE,OTHERS,3
112,2012,9,43,3,10/21/2012,MIDNIGHT,SEX ABUSE,OTHERS,2
113,2012,3,12,4,3/24/2012,MIDNIGHT,SEX ABUSE,OTHERS,1
114,2011,10,42,7,10/09/2011,MIDNIGHT,SEX ABUSE,OTHERS,4
115,2015,5,22,0,5/24/2015,MIDNIGHT,SEX ABUSE,GUN,6
116,2013,8,38,1,9/19/2013,MIDNIGHT,SEX ABUSE,OTHERS,3
117,2011,4,18,5,4/26/2011,MIDNIGHT,HOMICIDE,OTHERS,6
118,2015,1,1,0,01/02/2015,MIDNIGHT,SEX ABUSE,OTHERS,2
119,2013,10,42,5,10/16/2013,MIDNIGHT,HOMICIDE,GUN,6
120,2012,3,14,22,04/03/2012,EVENING,SEX ABUSE,OTHERS,6
121,2013,11,45,0,11/08/2013,MIDNIGHT,HOMICIDE,GUN,6
122,2012,11,52,22,12/29/2012,EVENING,SEX ABUSE,GUN,6
123,2013,12,52,3,12/22/2013,MIDNIGHT,SEX ABUSE,GUN,7
124,2014,7,30,22,7/22/2014,EVENING,SEX ABUSE,OTHERS,4
125,2011,10,47,8,11/17/2011,DAY,SEX ABUSE,OTHERS,1
126,2014,4,15,0,04/11/2014,MIDNIGHT,SEX ABUSE,OTHERS,5
127,2015,7,31,0,7/30/2015,MIDNIGHT,HOMICIDE,KNIFE,3
128,2014,7,29,18,7/13/2014,EVENING,SEX ABUSE,GUN,5
129,2015,10,41,23,10/09/2015,MIDNIGHT,SEX ABUSE,OTHERS,1
130,2012,3,11,3,03/12/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
131,2014,6,27,5,6/29/2014,MIDNIGHT,HOMICIDE,OTHERS,6
132,2011,3,10,2,03/02/2011,MIDNIGHT,SEX ABUSE,OTHERS,4
133,2011,1,4,21,1/18/2011,EVENING,SEX ABUSE,OTHERS,7
134,2014,2,8,18,2/21/2014,EVENING,SEX ABUSE,OTHERS,6
135,2015,11,46,23,11/09/2015,MIDNIGHT,HOMICIDE,GUN,7
136,2011,10,43,5,10/16/2011,MIDNIGHT,SEX ABUSE,OTHERS,7
137,2013,11,45,9,11/09/2013,DAY,SEX ABUSE,OTHERS,6
138,2011,6,24,6,06/09/2011,MIDNIGHT,SEX ABUSE,OTHERS,7
139,2015,1,3,0,01/11/2015,MIDNIGHT,HOMICIDE,GUN,1
140,2014,9,37,17,9/13/2014,EVENING,SEX ABUSE,OTHERS,7
141,2015,8,32,4,08/02/2015,MIDNIGHT,SEX ABUSE,OTHERS,7
142,2014,2,9,4,2/28/2014,MIDNIGHT,HOMICIDE,GUN,6
143,2015,8,34,22,8/18/2015,EVENING,SEX ABUSE,OTHERS,3
144,2013,0,5,13,1/29/2013,DAY,SEX ABUSE,OTHERS,5
145,2015,10,44,0,10/30/2015,MIDNIGHT,HOMICIDE,GUN,7
146,2016,4,18,14,4/25/2016,DAY,SEX ABUSE,GUN,6
147,2014,3,12,0,3/16/2014,MIDNIGHT,SEX ABUSE,OTHERS,7
148,2012,4,14,5,04/01/2012,MIDNIGHT,SEX ABUSE,OTHERS,1
149,2013,11,47,14,11/21/2013,DAY,SEX ABUSE,OTHERS,4
150,2014,11,45,22,11/04/2014,EVENING,SEX ABUSE,OTHERS,4
151,2013,1,5,20,1/30/2013,EVENING,SEX ABUSE,OTHERS,6
152,2013,12,52,12,12/28/2013,DAY,SEX ABUSE,OTHERS,5
153,2011,5,19,6,05/03/2011,MIDNIGHT,HOMICIDE,KNIFE,7
154,2014,1,3,0,1/15/2014,MIDNIGHT,HOMICIDE,GUN,7
155,2013,11,48,3,11/28/2013,MIDNIGHT,SEX ABUSE,OTHERS,3
156,2015,8,32,10,08/07/2015,DAY,SEX ABUSE,OTHERS,1
157,2011,8,33,12,08/12/2011,DAY,SEX ABUSE,OTHERS,5
158,2013,12,49,22,12/05/2013,EVENING,SEX ABUSE,OTHERS,1
159,2014,7,30,4,7/20/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
160,2015,9,38,0,9/19/2015,MIDNIGHT,HOMICIDE,GUN,7
